"Valor","Localizacao","Caracteristicas","Caracteristicas_Imovel"
"R$ 220.000VendaCondomínioR$ 185 / mêsIPTUR$ 0Simular financiamento(85) 3044-0...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Mimosa CoelhoMaraponga, Fortaleza, CE, 60711020","Área útil54m²",NA
NA,NA,"Quartos2",NA
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagem1",NA
"R$ 260.000VendaCondomínioR$ 500 / mêsIPTUR$ 50Simular financiamento(85) 98113-3...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Emílio SáJardim Cearense, Fortaleza, CE, 60712045","Área útil80m²","Academia"
NA,NA,"Quartos3","Churrasqueira"
NA,NA,"Banheiros5 Ou Mais","Piscina"
NA,NA,"Vagas na garagem2","Varanda"
NA,NA,NA,"Academia"
NA,NA,NA,"Elevador"
NA,NA,NA,"Piscina"
NA,NA,NA,"Salão de festas"
NA,NA,NA,"Segurança 24h"
"R$ 980.000R$ 180.000VendaCondomínioR$ 380 / mêsSimular financiamento(85) 98697-2...Exibir telefoneChat","Rua Castro MeirelesMondubim, Fortaleza, CE, 60711475","Área útil50m²","Área de serviço"
NA,NA,"Quartos3","Varanda"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Portaria"
NA,NA,NA,"Segurança 24h"
"R$ 430.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 99971-1...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Mirtil MeyerMondubim, Fortaleza, CE, 60762080","Área útil63m²","Ar condicionado"
NA,NA,"Quartos3","Elevador"
NA,NA,"Banheiros2","Permitido animais"
NA,NA,"Vagas na garagem2",NA
"R$ 209.000VendaCondomínioR$ 250 / mêsIPTUR$ 13Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Júlio AlcidesMaraponga, Fortaleza, CE, 60710680","Área útil47m²","Churrasqueira"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Salão de festas"
"R$ 209.000VendaCondomínioR$ 200 / mêsIPTUR$ 30Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Júlio AlcidesMaraponga, Fortaleza, CE, 60710680","Área útil47m²",NA
NA,NA,"Quartos2",NA
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagem1",NA
"R$ 350.000VendaCondomínioR$ 400 / mêsIPTUR$ 85Simular financiamento(85) 98810-5...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Doutor Rodrigo Codes SandovalMondubim, Fortaleza, CE, 60711455","Área útil56m²","Academia"
NA,NA,"Quartos3","Ar condicionado"
NA,NA,"Banheiros2","Churrasqueira"
NA,NA,"Vagas na garagem1","Piscina"
NA,NA,NA,"Academia"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 209.000VendaCondomínioR$ 200 / mêsIPTUR$ 133Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Júlio AlcidesMaraponga, Fortaleza, CE, 60710680","Área útil47m²","Churrasqueira"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Salão de festas"
"R$ 260.000VendaCondomínioR$ 220 / mêsIPTUR$ 0Simular financiamento(85) 3044-0...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua HolandaMaraponga, Fortaleza, CE, 60711005","Área útil44m²","Ar condicionado"
NA,NA,"Quartos2","Elevador"
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagem1",NA
"R$ 150.000VendaCondomínioR$ 289 / mêsIPTUR$ 50(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035","Área útil61m²",NA
NA,NA,"Quartos3",NA
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagem1",NA
"R$ 190.000VendaCondomínioR$ 300 / mêsSimular financiamento(85) 99727-9...Exibir telefoneChat","Rua Castro MeirelesMondubim, Fortaleza, CE, 60711475","Quartos2","Área de serviço"
NA,NA,"Banheiros2","Armários na cozinha"
NA,NA,"Vagas na garagem1","Armários no quarto"
NA,NA,NA,"Varanda"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Permitido animais"
"R$ 329.000VendaCondomínioR$ 250 / mêsIPTUR$ 300Simular financiamento(85) 99794-8...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Moreira da RochaMondubim, Fortaleza, CE, 60762370","Área útil50m²","Ar condicionado"
NA,NA,"Quartos2","Churrasqueira"
NA,NA,"Banheiros2","Piscina"
NA,NA,"Vagas na garagem1","Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 135.000VendaCondomínioR$ 350 / mêsIPTUR$ 25Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Coronel Manuel AlbanoMondubim, Fortaleza, CE, 60711465","Área útil44m²",NA
NA,NA,"Quartos2",NA
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagem1",NA
"R$ 150.000VendaCondomínioR$ 289 / mêsIPTUR$ 30Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035","Área útil60m²",NA
NA,NA,"Quartos3",NA
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagem1",NA
"R$ 169.000VendaCondomínioR$ 350 / mêsIPTUR$ 0Simular financiamentoChat","Rua HolandaMaraponga, Fortaleza, CE, 60711005","Área útil85m²","Área de serviço"
NA,NA,"Quartos3","Varanda"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Portaria"
"R$ 150.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 3044-0...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035","Área útil66m²","Churrasqueira"
NA,NA,"Quartos3",NA
NA,NA,"Banheiros2",NA
NA,NA,"Vagas na garagem1",NA
"R$ 399.000VendaCondomínioR$ 430 / mêsIPTUR$ 70Simular financiamento(85) 98841-4...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Mirtil MeyerMondubim, Fortaleza, CE, 60762080","Área útil63m²","Área de serviço"
NA,NA,"Quartos3","Churrasqueira"
NA,NA,"Banheiros2","Piscina"
NA,NA,"Vagas na garagem1","Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Piscina"
"R$ 400.000R$ 380.000VendaSimular financiamentoChat","Rua Benjamim Brasil - até 1081 - lado ímparJardim Cearense, Fortaleza, CE, 60712003","Área útil72m²","Academia"
NA,NA,"Quartos3","Condomínio fechado"
