"localizacao","bairro","valor_venda","valor_condominio","valor_iptu","area_util","quartos","banheiros","vagas_na_garagem","academia","area_de_servico","churrasqueira","piscina","condominio_fechado","elevador","permitido_animais","salao_de_festas","portaria","seguranca_24h","mobiliado","armarios_na_cozinha","varanda","ar_condicionado","armarios_no_quarto","portao_eletronico","area_murada","quarto_de_servico"
"Rua Rúbens Monte, Jardim Cearense, Fortaleza, CE, 60712025","Jardim Cearense",1150000,500,1,64,3,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"Rua Júlio Alcides, Maraponga, Fortaleza, CE, 60710680","Maraponga",1e+05,210,0,50,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avenida Godofredo Maciel - de 1282 a 3540 - lado par, Maraponga, Fortaleza, CE, 60710684","Maraponga",105000,200,NA,43,2,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
"Rua Moreira da Rocha, Mondubim, Fortaleza, CE, 60762370","Mondubim",125000,200,90,49,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rua Moreira da Rocha, Mondubim, Fortaleza, CE, 60762370","Mondubim",125000,230,100,50,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rua Aymar Rodrigues, Maraponga, Fortaleza, CE, 60711110","Maraponga",125000,250,13,44,2,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Vila São Rafael, Maraponga, Fortaleza, CE, 60710311","Maraponga",135000,350,1,44,2,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",135000,200,200,48,2,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",135000,200,50,44,2,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",135000,350,100,44,2,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",135000,350,13,45,2,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Vila São Rafael, Maraponga, Fortaleza, CE, 60710311","Maraponga",135000,350,1,44,2,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",135000,350,25,44,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",135000,350,350,48,2,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",135000,350,50,44,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",135000,350,80,48,2,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",135000,380,50,45,2,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rodovia Doutor Mendel Steinbruch - até 5469 - lado ímpar, Mondubim, Fortaleza, CE, 60752483","Mondubim",140000,240,0,56,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",140000,300,222,43,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",145000,350,0,48,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avenida Godofredo Maciel - de 1282 a 3540 - lado par, Maraponga, Fortaleza, CE, 60710902","Maraponga",148000,240,0,56,2,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, Rua Suíça - até 568/569Maraponga","Maraponga",150000,200,200,44,2,2,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, Rua Suíça - até 568/569Maraponga","Maraponga",150000,0,0,66,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rua Benjamim Brasil - de 2/3 ao fim, Mondubim, Fortaleza, CE, 60711442","Mondubim",150000,0,0,44,2,1,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, Rua Suíça - até 568/569Maraponga","Maraponga",150000,200,100,44,2,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, Rua Suíça - até 568/569Maraponga","Maraponga",150000,200,200,44,2,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, Rua Suíça - até 568/569Maraponga","Maraponga",150000,27,100,68,3,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, Rua Suíça - até 568/569Maraponga","Maraponga",150000,270,100,68,3,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, Rua Suíça - até 568/569Maraponga","Maraponga",150000,275,NA,681,3,2,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
"Rua Benjamim Brasil - até 1081 - lado ímpar, Jardim Cearense, Fortaleza, CE, 60712003","Jardim Cearense",150000,280,0,44,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, Rua Suíça - até 568/569Maraponga","Maraponga",150000,280,100,71,3,2,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, Rua Suíça - até 568/569Maraponga","Maraponga",150000,289,13,65,3,2,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711902, Rua Suíça - até 568/569Maraponga","Maraponga",150000,289,1,60,3,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, NA","Maraponga",150000,289,30,60,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, Rua Suíça - até 568/569Maraponga","Maraponga",150000,289,35,65,3,2,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, NA","Maraponga",150000,289,50,61,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, Rua Suíça - até 568/569Maraponga","Maraponga",150000,289,50,65,3,2,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, Rua Suíça - até 568/569Maraponga","Maraponga",150000,300,100,68,3,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, Rua Suíça - até 568/569Maraponga","Maraponga",150000,300,100,71,3,2,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",150000,350,0,48,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",150999,289,289,48,3,2,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rua Benjamim Brasil - de 2/3 ao fim, Mondubim, Fortaleza, CE, 60711442","Mondubim",155000,290,0,49,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, NA","Maraponga",155000,295,10,55,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, NA","Maraponga",155000,298,100,60,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",155000,350,13,45,2,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",155000,350,1,96,2,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Mondubim, Fortaleza, CE, 60711465, Mondubim","Mondubim",159000,224,0,45,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"Rua Benjamim Brasil - de 2/3 ao fim, Mondubim, Fortaleza, CE, 60711442","Mondubim",159000,290,0,44,2,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rua Leon Gradvol - até 338/339Maraponga, Fortaleza, CE, 60711155, Rua Leon Gradvol - até 338/339Maraponga","Maraponga",160000,185,NA,62,2,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",160000,239,NA,42,2,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0
"Rua Benjamim Brasil - de 2/3 ao fim, Mondubim, Fortaleza, CE, 60711442","Mondubim",160000,300,0,44,2,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, Rua Suíça - até 568/569Maraponga","Maraponga",160000,300,100,60,3,2,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",160000,310,0,48,2,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",160000,350,0,47,2,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"Mondubim, Fortaleza, CE, 60753320, Mondubim","Mondubim",160000,350,220,45,2,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0
"Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035, Rua Suíça - até 568/569Maraponga","Maraponga",165000,180,0,40,3,2,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",165000,200,1,48,2,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",165000,350,200,48,2,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",165000,350,350,40,2,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",165000,380,200,48,2,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",165000,250,1,48,2,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rua Aymar Rodrigues, Maraponga, Fortaleza, CE, 60711110","Maraponga",165000,180,13,45,2,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",165000,0,0,42,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rua Júlio Alcides, Maraponga, Fortaleza, CE, 60710680","Maraponga",165000,215,150,48,2,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"Rua Coronel Manuel Albano, Mondubim, Fortaleza, CE, 60711465","Mondubim",165000,310,0,48,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rua Joaquim Jerônimo, Mondubim, Fortaleza, CE, 60711520","Mondubim",165000,350,NA,49,2,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
